NaicsCode,PRODCAT
236118,Heating and Cooling
236210,Heating and Cooling
236220,Heating and Cooling
236220,Heating and Cooling
237310,Lighting
237990,Lighting
238210,Lighting
238220,Heating and Cooling
238290,Heating and Cooling
238990,Heating and Cooling
332311,Heating and Cooling
333241,Commercial Food Service Equipment
333244,IT & Electronics
333316,IT & Electronics
333318,IT & Electronics
333414,Heating and Cooling
333415,Heating and Cooling
334111,IT & Electronics
334112,IT & Electronics
334118,IT & Electronics
334210,IT & Electronics
334220,IT & Electronics
334290,IT & Electronics
334310,IT & Electronics
334413,IT & Electronics
334419,IT & Electronics
335110,Lighting
335121,Lighting
335122,Lighting
335129,Lighting
335210,Appliances
335220,Appliances
335222,Appliances
335224,Appliances
335311,Lighting
335999,IT & Electronics
336320,Appliances
336611,Lighting
423420,IT & Electronics
423430,IT & Electronics
423440,IT & Electronics
423610,IT & Electronics
423620,Appliances
423730,Heating and Cooling
424410,Appliances
531120,Lighting
531190,Lighting
532210,Appliances
532420,Appliances
532490,Heating and Cooling
541310,Heating and Cooling
541330,Heating and Cooling
541512,IT & Electronics
541519,IT & Electronics
561210,Lighting
561621,IT & Electronics
561790,Lighting
722310,Commercial Food Service Equipment
811212,IT & Electronics
811213,IT & Electronics
811219,IT & Electronics
811310,IT & Electronics
811412,Appliances
334516,Other
339113,Other
334516,Other
332410,Heating and Cooling
53112,Lighting
531,Lighting
